feature,importance
N_Ratio,0.10696103578799555
Potassium,0.10103486867087214
Rh,0.08926176690291444
Nitrogen,0.0891597366452296
Phosphorus,0.08899304860674377
K_Ratio,0.07684575325590093
Soil_Type,0.07110095350088651
Fertility,0.0628232428611797
Light_Hours,0.061316885113257565
P_Ratio,0.05677009399478252
Light_Intensity,0.05579307157967642
Rainfall,0.04747847330313218
Temperature,0.02510360721212906
pH,0.02117643281540844
Season,0.019634248853990066
Category_pH,0.013965197077361364
Photoperiod,0.012581583818539696
