feature,importance
Soil_Type,0.23286807504028975
Rainfall,0.1642753438889864
Light_Hours,0.12104400973763679
N_Ratio,0.10678300646688056
P_Ratio,0.06153104531173095
Potassium,0.0567371822007915
Rh,0.055033693223236375
Phosphorus,0.04868872480491723
Light_Intensity,0.033804724726300875
Temperature,0.032834220384377284
Nitrogen,0.030570743560730366
Fertility,0.022156588878921846
K_Ratio,0.02214088143445911
pH,0.0061269418958291915
Photoperiod,0.0020396879541526632
Season,0.0017587035967748302
Category_pH,0.0016064268939841699
